id,source_term,type,pinyin,label,curated_gloss
PRE_03158,安肺汤,PRE,Anfei Tang,Anfei Tang,False
PRE_03159,定痫丸,PRE,Dingxian Wan,Dingxian Wan,False
PRE_03160,定痫丹,PRE,Dingxiandan,Dingxiandan,False
PRE_03161,定经汤,PRE,Dingjing Tang,Dingjing Tang,False
PRE_03162,宜平胃散,PRE,Yipingwei San,Yipingwei San,False
PRE_03163,宜犀羚镇痉汤,PRE,Yixilingzhenjing Tang,Yixilingzhenjing Tang,False
PRE_03164,宜生脉散,PRE,Yishengmai San,Yishengmai San,False
PRE_03165,宜邵氏达原饮,PRE,Yishaoshidayuan Yin,Yishaoshidayuan Yin,False
PRE_03166,宜镇痉解毒汤,PRE,Yizhenjingjiedu Tang,Yizhenjingjiedu Tang,False
PRE_03167,实热镇心丸,PRE,Shirezhenxin Wan,Shirezhenxin Wan,False
PRE_03168,宣痹汤,PRE,Xuanbi Tang,Xuanbi Tang,False
PRE_03169,宣风散,PRE,Xuanfeng San,Xuanfeng San,False
PRE_03170,宽带汤,PRE,Kuandai Tang,Kuandai Tang,False
PRE_03171,宽带汤[$,PRE,Kuandaitang[$,Kuandaitang[$,False
PRE_03172,宽气饮,PRE,Kuanqi Yin,Kuanqi Yin,False
PRE_03173,宽胸散,PRE,Kuanxiong San,Kuanxiong San,False
PRE_03174,小便频急,PRE,Xiaobianpinji,Xiaobianpinji,False
PRE_03175,小儿回春丹,PRE,Xiaoerhuichundan,Xiaoerhuichundan,False
PRE_03176,小蜜丸,PRE,Xiaomi Wan,Xiaomi Wan,False
PRE_03177,小青龙,PRE,Xiaoqinglong,Xiaoqinglong,False
PRE_03178,少阴甘桔汤,PRE,Shaoyinganju Tang,Shaoyinganju Tang,False
PRE_03179,川芎茶调散,PRE,Chuanqiongchadiao San,Chuanqiongchadiao San,False
PRE_03180,左归饮,PRE,Zuogui Yin,Zuogui Yin,False
PRE_03181,左金丸逍遥散,PRE,Zuojinwanxiaoyao San,Zuojinwanxiaoyao San,False
PRE_03182,己椒苈黄丸,PRE,Jijiaolihuang Wan,Jijiaolihuang Wan,False
PRE_03183,庄氏软金丸,PRE,Zhuangshiruanjin Wan,Zhuangshiruanjin Wan,False
PRE_03184,延寿丹,PRE,Yanshoudan,Yanshoudan,False
PRE_03185,开明丸,PRE,Kaiming Wan,Kaiming Wan,False
PRE_03186,开郁种玉汤,PRE,Kaiyuzhongyu Tang,Kaiyuzhongyu Tang,False
PRE_03187,异功汤,PRE,Yigong Tang,Yigong Tang,False
PRE_03188,当归建中汤,PRE,Dangguijianzhong Tang,Dangguijianzhong Tang,False
PRE_03189,当归芦荟丸,PRE,Dangguiluhui Wan,Dangguiluhui Wan,False
PRE_03190,必胜散,PRE,Bisheng San,Bisheng San,False
PRE_03191,必胜散[,PRE,Bishengsan[,Bishengsan[,False
PRE_03192,急救稀涎散,PRE,Jijiuxixian San,Jijiuxixian San,False
PRE_03193,截风观音散,PRE,Jiefengguanyin San,Jiefengguanyin San,False
PRE_03194,扶元散,PRE,Fuyuan San,Fuyuan San,False
PRE_03195,拯阳理劳汤,PRE,Zhengyanglilao Tang,Zhengyanglilao Tang,False
PRE_03196,排脓祛瘀,PRE,Painongquyu,Painongquyu,False
