node_id,x,y
SYM_03553,0.07157660311592956,-0.03910364092583017
SYM_03539,0.34196246646163386,0.147422651918052
SYM_03506,0.15693953935198704,0.05023058697153163
SYM_03427,0.2203367067561502,-0.08564882078961322
SYM_03508,0.2308399887948423,0.0020333875231960444
CAU_00066,0.14836496450575198,-0.10578130876051564
SYM_03809,0.27520250667352375,-0.15553629656708987
CAU_00059,0.11519987782494272,-0.0024918195070267185
SYM_03451,0.20281508223946154,0.029869874781632774
SYM_03408,-0.039538414201607294,0.027457522346546977
SYM_03437,0.21580402216936925,0.04328382452707459
SYM_03939,0.43362990138949986,-0.022561830560481208
SYM_03567,0.4229821909568437,-0.008361832344114866
SYM_03929,0.557003774025846,-0.07451076247636497
CAU_00171,0.838439174686871,-0.10427251187557893
SYM_03421,-0.04485354334948755,-0.012626349231503744
SYM_03467,0.06643898321659199,-0.09280626790091992
SYM_03930,0.3173444248057536,0.14945463028674272
SYM_03550,0.15013918256289643,-0.19383441766874315
SYM_03502,0.20511003445711543,-0.1920674969746068
SYM_03863,0.2081244348701434,-0.2676127076687095
SYM_03486,-0.08501735156224845,-0.015155525274419244
SYM_03420,0.1726086284846389,-0.026831108296790696
SYM_03957,0.2905973126750067,-0.08568135375646976
CAU_00304,0.45892664816094214,-0.16631246697569224
SYM_03542,-0.05310127655391876,0.028873193429440374
CAU_00016,0.07106206533493475,0.10739215440544396
SYM_03434,0.0015432885375607159,0.06725336638140479
SYM_03793,0.15603418298339544,0.3735514398497425
SYM_03566,0.3571008181232765,-0.1946793048729141
SYM_04765,0.2914511040618693,-0.1948580126742605
SYM_04214,0.24796168793192783,-0.2525330569148526
SYM_04412,0.35598565929587744,-0.23343414605812518
SYM_03905,0.3126124969849875,0.04805494923965669
SYM_04147,0.2784156499556719,-0.1563245581389541
SYM_03423,0.23454888521880027,-0.10438739214624955
SYM_03472,0.18206791922050639,0.07807751670008127
SYM_03466,0.2375105138613269,-0.0422081905304941
SYM_03544,0.23436536048767445,-0.13680832900198026
SYM_03432,0.16599622789223573,-0.03718503745368325
SYM_03813,0.27952436281436427,-0.3479545202935674
CAU_00013,0.06708988923170828,0.0484520575094132
SYM_03463,-0.046091033674097,-0.00069175073743856
SYM_04377,0.06640899110371876,0.32505134515639406
SYM_03534,0.1434604266237731,0.07257673422332789
SYM_03482,0.14021858541792226,0.026074309599509585
CAU_00138,0.3370260379243345,-0.1357714416196016
SYM_03565,0.31193038872113055,-0.060038435034523704
SYM_03614,-0.08643642763457944,0.03268132771940883
SYM_03416,-0.013203547296131884,0.021306401066245824
SYM_03632,-0.05112060391578688,-0.11630316731925099
SYM_03456,0.01935730895204777,-0.06626573669639087
CAU_00027,-0.0011513833915105496,-0.2674107035985451
SYM_03412,0.12872722914421908,-0.003919277713556576
SYM_03862,0.05081713704680939,-0.16695190788143202
SYM_03717,0.03850410294420811,-0.19066837836822234
SYM_03689,0.2204909967504719,0.1932151475578694
SYM_03428,0.047242247536293774,-0.02090635922095372
SYM_03442,0.05156783136875045,0.00023132034455208237
SYM_03455,0.21964756208266,-0.040279857132146726
CAU_00124,0.0413005883240266,0.1268006129597247
CAU_00324,0.018305162611149214,-0.15058084358606838
SYM_03569,0.1279095477382387,-0.05756369561195728
SYM_04244,0.24465810648357184,0.071198140372722
CAU_00071,0.17132816262568837,-0.04733294647832202
SYM_03778,0.40418640681809337,-0.07351397168147328
SYM_03449,-0.11571179013903572,0.010136588024083777
CAU_00136,0.4305395570331039,-0.3136386349194272
